# raw CAN FD log from python-can virtual channel
2026-05-09T15:28:57.488 0x123 FD=True BRS=True DATA=[00 00 10 0E 00 01 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 0.0, 'EngRpm': 900.0, 'BrkPressed': 0, 'Gear': 1}
2026-05-09T15:28:57.639 0x123 FD=True BRS=True DATA=[20 03 50 13 00 01 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 8.0, 'EngRpm': 1236.0, 'BrkPressed': 0, 'Gear': 1}
2026-05-09T15:28:57.790 0x123 FD=True BRS=True DATA=[40 06 90 18 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 16.0, 'EngRpm': 1572.0, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:28:57.941 0x123 FD=True BRS=True DATA=[60 09 D0 1D 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 24.0, 'EngRpm': 1908.0, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:28:58.091 0x123 FD=True BRS=True DATA=[80 0C 10 23 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 32.0, 'EngRpm': 2244.0, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:28:58.242 0x123 FD=True BRS=True DATA=[58 14 3E 30 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 52.08, 'EngRpm': 3087.5, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:58.393 0x123 FD=True BRS=True DATA=[AF 14 D0 30 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 52.95, 'EngRpm': 3124.0, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:58.544 0x123 FD=True BRS=True DATA=[97 14 A8 30 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 52.71, 'EngRpm': 3114.0, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:58.695 0x123 FD=True BRS=True DATA=[11 14 C6 2F 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 51.370000000000005, 'EngRpm': 3057.5, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:58.846 0x123 FD=True BRS=True DATA=[25 13 39 2E 01 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 49.01, 'EngRpm': 2958.25, 'BrkPressed': 1, 'Gear': 3}
2026-05-09T15:28:58.996 0x123 FD=True BRS=True DATA=[E1 11 1A 2C 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 45.77, 'EngRpm': 2822.5, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:59.147 0x123 FD=True BRS=True DATA=[5B 10 8A 29 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 41.87, 'EngRpm': 2658.5, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:59.298 0x123 FD=True BRS=True DATA=[AA 0E B3 26 00 03 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 37.54, 'EngRpm': 2476.75, 'BrkPressed': 0, 'Gear': 3}
2026-05-09T15:28:59.448 0x123 FD=True BRS=True DATA=[E9 0C C1 23 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 33.05, 'EngRpm': 2288.25, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:28:59.599 0x123 FD=True BRS=True DATA=[35 0B E3 20 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 28.69, 'EngRpm': 2104.75, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:28:59.749 0x123 FD=True BRS=True DATA=[A7 09 48 1E 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 24.71, 'EngRpm': 1938.0, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:28:59.900 0x123 FD=True BRS=True DATA=[5A 08 17 1C 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 21.38, 'EngRpm': 1797.75, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:29:00.051 0x123 FD=True BRS=True DATA=[61 07 76 1A 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 18.89, 'EngRpm': 1693.5, 'BrkPressed': 0, 'Gear': 2}
2026-05-09T15:29:00.202 0x123 FD=True BRS=True DATA=[CC 06 7C 19 01 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 17.400000000000002, 'EngRpm': 1631.0, 'BrkPressed': 1, 'Gear': 2}
2026-05-09T15:29:00.352 0x123 FD=True BRS=True DATA=[A5 06 3A 19 00 02 00 00 00 00 00 00 00 00 00 00] DECODED={'VehSpeed': 17.01, 'EngRpm': 1614.5, 'BrkPressed': 0, 'Gear': 2}
